Code,FPL_Name,Web_Name,Understat_ID,Understat_Name,FPL_ID_2024-25,Team_2024-25,FPL_ID_2023-24,Team_2023-24
69752,Norberto Murara Neto,Neto,1297,Neto,73,Bournemouth,77,Bournemouth
533463,Dango Ouattara,O.Dango,9662,Dango Ouattara,74,Bournemouth,78,Bournemouth
156687,Ben Pearson,Pearson,10742,Ben Pearson,,,,
32259,Darren Randolph,Randolph,540,Darren Randolph,,,,
156685,Joe Rothwell,Rothwell,561,Joe Rothwell,,,,
437730,Antoine Semenyo,Semenyo,11363,Antoine Semenyo,78,Bournemouth,82,Bournemouth
221466,Marcos Senesi,Senesi,10864,Marcos Senesi,79,Bournemouth,83,Bournemouth
54469,Adam Smith,Smith,825,Adam Smith,81,Bournemouth,84,Bournemouth
154566,Dominic Solanke-Mitchell,Solanke,1679,Dominic Solanke,82,Bournemouth,85,Bournemouth
201658,Marcus Tavernier,Tavernier,10741,Marcus Tavernier,83,Bournemouth,86,Bournemouth
424044,Hamed Traorè,H.Traorè,6986,Hamed Junior Traore,67,Bournemouth,87,Bournemouth
229600,Mark Travers,Travers,7582,Mark Travers,84,Bournemouth,88,Bournemouth
477580,Illia Zabarnyi,Zabarnyi,11486,Illia Zabarnyi,85,Bournemouth,89,Bournemouth
191866,Kristoffer Ajer,Ajer,9677,Kristoffer Ajer,86,Brentford,90,Brentford
235448,Ellery Balcombe,Balcombe,,,,,,
432160,Shandon Baptiste,Baptiste,9914,Shandon Baptiste,,,,
228044,Mads Bech Sørensen,Bech,9683,Mads Bech Sørensen,,,,
481405,Mads Bidstrup,Bidstrup,9682,Mads Bidstrup,,,,
174932,Sergi Canós Tenés,Canós,1078,Sergi Canos,,,,
432830,Nathan Collins,Collins,9733,Nathan Collins,88,Brentford,96,Brentford
503300,Matthew Cox,Cox,,,,,,
440089,Mikkel Damsgaard,Damsgaard,8859,Mikkel Damsgaard,89,Brentford,98,Brentford
183656,Josh Dasilva,Dasilva,10405,Josh Dasilva,90,Brentford,99,Brentford
434662,Halil Dervişoğlu,Dervişoğlu,9686,Halil Dervisoglu,,,,
213687,Charlie Goode,Goode,9687,Charlie Goode,,,,
194010,Rico Henry,Henry,9679,Rico Henry,92,Brentford,103,Brentford
472713,Aaron Hickey,Hickey,8942,Aaron Hickey,93,Brentford,104,Brentford
204580,Vitaly Janelt,Janelt,9680,Vitaly Janelt,94,Brentford,105,Brentford
207283,Mathias Jensen,Jensen,7166,Mathias Jensen,95,Brentford,106,Brentford
249231,Keane Lewis-Potter,Lewis-Potter,10809,Keane Lewis-Potter,98,Brentford,107,Brentford
446008,Bryan Mbeumo,Mbeumo,6552,Bryan Mbeumo,99,Brentford,108,Brentford
51927,Ben Mee,Mee,1654,Ben Mee,100,Brentford,109,Brentford
128295,Christian Nørgaard,Nørgaard,7083,Christian Nørgaard,101,Brentford,110,Brentford
428580,Frank Onyeka,Onyeka,9681,Frank Onyeka,102,Brentford,111,Brentford
231065,Ethan Pinnock,Pinnock,9678,Ethan Pinnock,104,Brentford,112,Brentford
154561,David Raya Martin,Raya,9676,David Raya,15,Arsenal,113,Arsenal
226956,Mads Roerslev Rasmussen,Roerslev,9685,Mads Roerslev,105,Brentford,114,Brentford
513418,Kevin Schade,Schade,9156,Kevin Schade,106,Brentford,115,Brentford
140200,Thomas Strakosha,Strakosha,1214,Thomas Strakosha,,,,
144485,Ivan Toney,Toney,998,Ivan Toney,108,Brentford,117,Brentford
591357,Ryan Trevitt,Trevitt,,,,,,
216646,Yoane Wissa,Wissa,5786,Yoane Wissa,110,Brentford,119,Brentford
48760,Mathias Jorgensen,Zanka,6030,Zanka,112,Brentford,121,Brentford
235382,Steven Alzate,Alzate,8020,Steven Alzate,,,,
509416,Yasin Ayari,Ayari,11385,Yasin Ayari,,,,
536916,Facundo Buonanotte,Buonanotte,11362,Facundo Buonanotte,117,Brighton,125,Brighton
486672,Moisés Caicedo Corozo,Caicedo,9453,Moisés Caicedo,157,Chelsea,126,Chelsea
83299,Lewis Dunk,Dunk,6048,Lewis Dunk,120,Brighton,129,Brighton
474120,Julio Enciso,Enciso,11058,Julio Enciso,121,Brighton,130,Brighton
204214,Pervis Estupiñán,Estupiñan,5136,Estupiñán,122,Brighton,131,Brighton
487117,Evan Ferguson,Ferguson,10177,Evan Ferguson,123,Brighton,132,Brighton
243568,Billy Gilmour,Gilmour,7988,Billy Gilmour,124,Brighton,133,Brighton
60307,Pascal Groß,Gross,239,Pascal Groß,125,Brighton,134,Brighton
484658,Kacper Kozłowski,Kozlowski,,,130,Brighton,137,Brighton
39155,Adam Lallana,Lallana,486,Adam Lallana,463,Southampton,138,Brighton
232792,Tariq Lamptey,Lamptey,8226,Tariq Lamptey,131,Brighton,139,Brighton
109345,Solly March,March,6049,Solly March,132,Brighton,140,Brighton
209288,Tom McGill,McGill,,,,,,
15157,James Milner,Milner,489,James Milner,134,Brighton,142,Brighton
451340,Mitoma Kaoru,Mitoma,10806,Kaoru Mitoma,136,Brighton,143,Brighton
243505,Jakub Moder,Moder,9284,Jakub Moder,137,Brighton,144,Brighton
215059,Robert Sánchez,Sánchez,9098,Robert Sánchez,185,Chelsea,145,Chelsea
441192,Jeremy Sarmiento Morante,Sarmiento,10036,Jeremy Sarmiento,141,Brighton,146,Brighton
240514,Kjell Scherpen,Scherpen,,,,,,
49262,Jason Steele,Steele,7235,Jason Steele,142,Brighton,148,Brighton
450434,Deniz Undav,Undav,10804,Deniz Undav,143,Brighton,149,Brighton
469142,Jan Paul van Hecke,Van Hecke,10807,Jan Paul van Hecke,144,Brighton,150,Brighton
111478,Joël Veltman,Veltman,8780,Joël Veltman,145,Brighton,151,Brighton
110735,Adam Webster,Webster,7699,Adam Webster,147,Brighton,153,Brighton
50175,Danny Welbeck,Welbeck,501,Danny Welbeck,148,Brighton,154,Brighton
120202,Wout Weghorst,Weghorst,7052,Wout Weghorst,,,,
199598,Ethan Ampadu,Ampadu,6369,Ethan Ampadu,,,,
532605,Andrey Nascimento dos Santos,Andrey Santos,11808,Andrey Santos,150,Chelsea,186,Chelsea
109745,Kepa Arrizabalaga,Arrizabalaga,5061,Kepa,152,Chelsea,187,Chelsea
54694,Pierre-Emerick Aubameyang,Aubameyang,318,Pierre-Emerick Aubameyang,,,,
41328,César Azpilicueta,Azpilicueta,681,César Azpilicueta,,,,
242880,Benoît Badiashile,B.Badiashile,7240,Benoit Badiashile Mukinayi,153,Chelsea,191,Chelsea
122074,Marcus Bettinelli,Bettinelli,7076,Marcus Bettinelli,155,Chelsea,192,Chelsea
440323,Armando Broja,Broja,8384,Armando Broja,156,Chelsea,193,Fulham
180736,Trevoh Chalobah,Chalobah,6615,Trevoh Chalobah,159,Chelsea,194,Chelsea
172850,Ben Chilwell,Chilwell,782,Ben Chilwell,160,Chelsea,195,Chelsea
478912,Carney Chukwuemeka,Chukwuemeka,9356,Carney Chukwuemeka,161,Chelsea,196,Chelsea
460028,Levi Colwill,Colwill,10805,Levi Colwill,162,Chelsea,197,Chelsea
179268,Marc Cucurella Saseta,Cucurella,7134,Marc Cucurella,163,Chelsea,198,Chelsea
448047,Enzo Fernández,Enzo,11356,Enzo Fernández,168,Chelsea,199,Chelsea
520295,David Datro Fofana,D.D.Fofana,11295,David Datro Fofana,164,Chelsea,200,Burnley
444463,Wesley Fofana,W.Fofana,7589,Wesley Fofana,189,Chelsea,201,Chelsea
232787,Conor Gallagher,Gallagher,9040,Conor Gallagher,169,Chelsea,202,Chelsea
487838,Lewis Hall,Hall,10216,Lewis Hall,399,Newcastle,204,Newcastle
209046,Callum Hudson-Odoi,Hudson-Odoi,6456,Callum Hudson-Odoi,434,Nott'm Forest,205,Nott'm Forest
225796,Reece James,James,8067,Reece James,172,Chelsea,206,Chelsea
248857,Noni Madueke,Madueke,11357,Noni Madueke,177,Chelsea,208,Chelsea
184341,Mason Mount,Mount,7768,Mason Mount,382,Man Utd,209,Man Utd
465920,Mykhailo Mudryk,Mudryk,11305,Mykhailo Mudryk,179,Chelsea,210,Chelsea
176413,Christian Pulisic,Pulisic,2662,Christian Pulisic,,,,
204727,Malang Sarr,M.Sarr,5648,Malang Sarr,176,Chelsea,214,Chelsea
103955,Raheem Sterling,Sterling,618,Raheem Sterling,186,Chelsea,216,Chelsea
51090,Thiago Emiliano da Silva,T.Silva,3288,Thiago Silva,,,,
124183,Hakim Ziyech,Ziyech,8992,Hakim Ziyech,,,,
466117,Naouirou Ahamada,Ahamada,9274,Naouirou Ahamada,190,Crystal Palace,219,Crystal Palace
174874,Joachim Andersen,Andersen,6314,Joachim Andersen,191,Crystal Palace,220,Crystal Palace
80146,Jordan Ayew,J.Ayew,672,Jordan Ayew,192,Crystal Palace,221,Crystal Palace
57328,Nathaniel Clyne,Clyne,603,Nathaniel Clyne,196,Crystal Palace,222,Crystal Palace
438464,Cheick Doucouré,C.Doucouré,8666,Cheick Oumar Doucoure,193,Crystal Palace,223,Crystal Palace
450535,Malcolm Ebiowei,Ebiowei,10698,Malcolm Ebiowei,197,Crystal Palace,224,Crystal Palace
199670,Odsonne Edouard,Edouard,3697,Odsonne Edouard,198,Crystal Palace,225,Crystal Palace
232413,Eberechi Eze,Eze,8706,Eberechi Eze,199,Crystal Palace,226,Crystal Palace
40836,Vicente Guaita,Guaita,2190,Vicente Guaita,,,,
209036,Marc Guéhi,Guéhi,7603,Marc Guehi,200,Crystal Palace,228,Crystal Palace
108413,Will Hughes,Hughes,6104,Will Hughes,203,Crystal Palace,229,Crystal Palace
101982,Sam Johnstone,Johnstone,978,Sam Johnstone,204,Crystal Palace,230,Crystal Palace
152551,Jefferson Lerma Solís,Lerma,2182,Jefferson Lerma,206,Crystal Palace,231,Crystal Palace
